accountnumber,b2bcnt2y,model2score,sbfecardcount
a3P4u000004AsPuEAK,0.0,744,-99.0
a3P4u000004AsYiEAK,0.0,763,2.0
a3P4u000004AsYxEAK,0.0,689,-99.0
a3P4u000004AsaFEAS,-99999.0,722,1.0
a3P4u000004AsayEAC,1.0,769,2.0
a3P4u000004AsbXEAS,0.0,724,-99.0
a3P4u000004AsbmEAC,0.0,726,-99.0
a3P4u000004AscGEAS,1.0,801,3.0
a3P4u000004AscQEAS,0.0,749,1.0
a3P4u000004AseWEAS,0.0,754,-99.0
a3P4u000004AsfPEAS,-99999.0,222,-99.0
a3P4u000004AsktEAC,0.0,668,-99.0
a3P4u000004Asl3EAC,1.0,815,2.0
a3P4u000004AslDEAS,0.0,657,-99.0
a3P4u000004AslwEAC,0.0,689,-99.0
a3P4u000004Asm1EAC,1.0,694,3.0
a3P4u000004AsmzEAC,0.0,684,-99.0
a3P4u000004AsnTEAS,1.0,737,3.0
a3P4u000004AsoREAS,0.0,690,-99.0
a3P4u000004AsrkEAC,0.0,680,-99.0
a3P4u000004AsybEAC,0.0,658,-99.0
a3P4u000004At3qEAC,0.0,627,1.0
a3P4u000004At4tEAC,0.0,695,-99.0
a3P4u000004At5SEAS,0.0,514,-99.0
a3P4u000004AtBGEA0,1.0,766,3.0
a3P4u000004AtBLEA0,0.0,680,1.0
a3P4u000004AtDHEA0,0.0,703,-99.0
a3P4u000004AtDbEAK,0.0,661,2.0
a3P4u000004AtDlEAK,0.0,671,-99.0
a3P4u000004AtEPEA0,0.0,707,1.0
a3P4u000004AtEtEAK,0.0,591,1.0
a3P4u000004AtFXEA0,0.0,659,-99.0
a3P4u000004AtGfEAK,0.0,697,2.0
a3P4u000004AtH9EAK,0.0,685,1.0
a3P4u000004AtHJEA0,0.0,651,-99.0
a3P4u000004AtIbEAK,0.0,732,-99.0
a3P4u000004AtKIEA0,0.0,723,-99.0
a3P4u000004AtKXEA0,0.0,662,1.0
a3P4u000004AtKhEAK,0.0,720,-99.0
a3P4u000004AtMEEA0,0.0,721,-99.0
a3P4u000004AtNREA0,-99999.0,222,-99.0
a3P4u000004AtOeEAK,-99999.0,222,-99.0
a3P4u000004AtP3EAK,0.0,719,3.0
a3P4u000004AtPXEA0,0.0,716,2.0
a3P4u000004AtQkEAK,-99999.0,222,-99.0
