name,b2bcnt2y,model2score,sbfecardcount
Application-376888,0.0,680,-99.0
Application-449142,1.0,684,-99.0
Application-406512,0.0,732,-99.0
Application-380762,0.0,662,-99.0
Application-399562,0.0,690,-99.0
Application-419513,0.0,731,-99.0
Application-436127,-99999.0,222,-99.0
Application-443288,1.0,756,-99.0
Application-419215,0.0,724,-99.0
Application-414799,0.0,734,-99.0
Application-423283,0.0,734,-99.0
Application-382883,0.0,698,-99.0
Application-437326,-99999.0,222,-99.0
Application-404866,0.0,723,-99.0
Application-392260,0.0,671,-99.0
Application-405083,0.0,552,1.0
Application-417616,0.0,674,-99.0
Application-425264,0.0,712,-99.0
Application-388385,0.0,615,-99.0
Application-380655,0.0,656,-99.0
Application-386132,-99999.0,222,-99.0
Application-436741,0.0,652,1.0
Application-447902,0.0,687,-99.0
Application-443247,0.0,704,-99.0
Application-400378,0.0,712,-99.0
Application-441484,1.0,600,1.0
Application-414201,0.0,680,-99.0
Application-437249,0.0,748,-99.0
Application-429752,0.0,591,2.0
Application-375299,0.0,613,-99.0
Application-409169,0.0,590,-99.0
Application-397476,0.0,735,-99.0
Application-433873,0.0,652,-99.0
Application-446513,0.0,686,-99.0
Application-392758,-99999.0,222,-99.0
Application-435608,-99999.0,222,-99.0
Application-442928,0.0,695,-99.0
Application-440658,0.0,681,-99.0
Application-380709,-99999.0,222,-99.0
Application-446194,0.0,687,-99.0
Application-398323,0.0,669,-99.0
Application-414969,0.0,686,-99.0
Application-411810,0.0,612,-99.0
Application-399468,-99999.0,222,-99.0
Application-411728,0.0,673,-99.0
Application-421657,0.0,671,-99.0
Application-432726,1.0,639,-99.0
Application-412862,0.0,702,-99.0
Application-434329,0.0,676,-99.0
Application-398747,0.0,684,-99.0
Application-418008,0.0,737,-99.0
Application-441967,0.0,670,-99.0
Application-428100,0.0,660,2.0
Application-401425,0.0,721,-99.0
Application-449319,0.0,633,1.0
Application-443320,1.0,694,0.0
Application-374586,1.0,673,-99.0
Application-443663,-99999.0,222,-99.0
Application-385490,0.0,735,-99.0
Application-445106,0.0,675,-99.0
Application-427506,1.0,653,-99.0
Application-433304,0.0,621,-99.0
Application-407586,0.0,679,-99.0
Application-438036,0.0,653,-99.0
Application-398917,0.0,663,-99.0
Application-388095,4.0,676,1.0
Application-424050,2.0,683,-99.0
Application-429545,0.0,701,-99.0
Application-430571,1.0,692,-99.0
Application-435766,0.0,700,-99.0
Application-382801,0.0,675,-99.0
Application-435019,1.0,601,-99.0
Application-392484,0.0,623,-99.0
Application-426524,0.0,642,-99.0
Application-444891,0.0,706,-99.0
Application-445680,0.0,670,-99.0
Application-419666,0.0,702,-99.0
Application-433870,1.0,660,-99.0
Application-436154,0.0,671,1.0
Application-427163,0.0,701,-99.0
Application-429555,0.0,688,-99.0
Application-374262,1.0,626,-99.0
Application-406943,0.0,660,-99.0
Application-421601,0.0,735,-99.0
Application-376256,0.0,735,-99.0
Application-428006,2.0,642,-99.0
Application-413022,0.0,690,-99.0
Application-378443,0.0,690,-99.0
Application-410001,0.0,698,-99.0
Application-397470,0.0,629,-99.0
Application-420475,0.0,679,-99.0
Application-409651,0.0,682,-99.0
Application-396710,0.0,565,-99.0
Application-407789,1.0,692,-99.0
Application-437382,1.0,641,3.0
Application-432491,0.0,689,-99.0
Application-414056,0.0,646,1.0
Application-430675,1.0,614,1.0
Application-424774,0.0,668,-99.0
Application-402120,0.0,692,-99.0
Application-428110,0.0,662,-99.0
Application-382564,0.0,716,-99.0
Application-442834,0.0,702,-99.0
Application-378697,0.0,753,-99.0
Application-436707,0.0,696,0.0
Application-420332,0.0,729,-99.0
Application-437684,-99999.0,222,-99.0
Application-411680,0.0,701,-99.0
Application-436488,0.0,595,1.0
Application-404895,1.0,636,-99.0
Application-428079,0.0,690,-99.0
Application-418886,-99999.0,222,-99.0
Application-447767,0.0,703,2.0
Application-442184,0.0,698,-99.0
Application-374952,0.0,695,-99.0
Application-445683,2.0,677,-99.0
Application-400669,0.0,698,-99.0
Application-384346,0.0,700,-99.0
Application-428656,1.0,601,-99.0
Application-415835,0.0,697,-99.0
Application-416422,0.0,585,-99.0
Application-409325,1.0,686,-99.0
Application-424624,0.0,663,-99.0
Application-409943,0.0,701,-99.0
Application-419628,0.0,676,-99.0
Application-445457,0.0,729,-99.0
Application-426900,1.0,673,-99.0
Application-424730,0.0,693,-99.0
Application-418617,0.0,722,-99.0
Application-398366,0.0,594,-99.0
Application-405220,0.0,680,-99.0
Application-445048,-99999.0,222,-99.0
Application-377404,0.0,674,-99.0
Application-416391,0.0,585,0.0
Application-434682,-99999.0,222,-99.0
Application-399833,0.0,722,-99.0
Application-396830,0.0,676,-99.0
Application-398048,0.0,706,-99.0
Application-435115,0.0,687,-99.0
Application-427489,-99999.0,222,-99.0
Application-406217,0.0,718,-99.0
Application-429455,-99999.0,222,-99.0
Application-393072,0.0,723,-99.0
Application-415836,0.0,654,-99.0
Application-447154,0.0,672,-99.0
Application-430983,0.0,679,-99.0
Application-382015,0.0,691,-99.0
Application-441585,0.0,702,-99.0
Application-429036,0.0,598,-99.0
Application-396951,0.0,640,-99.0
Application-423722,0.0,702,-99.0
Application-431021,0.0,675,-99.0
Application-381447,0.0,571,-99.0
Application-435863,0.0,603,-99.0
Application-437807,0.0,629,-99.0
Application-425636,0.0,709,-99.0
Application-432066,0.0,611,-99.0
Application-432011,0.0,529,0.0
Application-419018,1.0,695,1.0
Application-441065,0.0,696,-99.0
Application-402077,0.0,700,-99.0
Application-420520,0.0,708,-99.0
Application-391012,2.0,702,-99.0
Application-409562,-99999.0,222,-99.0
Application-434671,0.0,716,-99.0
Application-426212,1.0,628,-99.0
Application-449206,-99999.0,222,-99.0
Application-436845,0.0,711,-99.0
Application-442733,0.0,669,-99.0
Application-429610,0.0,620,-99.0
Application-439802,3.0,744,2.0
Application-414672,0.0,593,-99.0
Application-418401,1.0,591,1.0
Application-413855,0.0,667,-99.0
Application-443241,2.0,547,-99.0
Application-389789,1.0,563,-99.0
Application-413004,0.0,679,-99.0
Application-403471,2.0,717,-99.0
Application-393987,-99999.0,222,-99.0
Application-411387,0.0,632,-99.0
Application-381307,0.0,604,-99.0
Application-440645,0.0,661,-99.0
Application-433316,0.0,716,-99.0
Application-427037,0.0,634,-99.0
Application-449411,0.0,726,-99.0
Application-411877,0.0,711,-99.0
Application-394755,0.0,680,-99.0
Application-412490,0.0,640,-99.0
Application-435254,0.0,723,-99.0
Application-375933,0.0,697,-99.0
Application-429337,0.0,748,-99.0
Application-438335,0.0,675,-99.0
Application-439336,-99999.0,222,-99.0
Application-429398,0.0,681,-99.0
Application-422703,0.0,701,-99.0
Application-406255,0.0,655,1.0
Application-390124,0.0,722,-99.0
Application-376605,0.0,648,-99.0
Application-436026,0.0,721,-99.0
Application-419814,0.0,723,-99.0
Application-402646,0.0,667,3.0
Application-387234,0.0,686,-99.0
Application-389234,1.0,656,2.0
Application-418437,0.0,690,-99.0
Application-436385,1.0,654,-99.0
Application-446557,0.0,599,-99.0
Application-375923,0.0,554,-99.0
Application-439951,0.0,675,-99.0
Application-380346,0.0,581,-99.0
Application-395463,0.0,587,1.0
Application-418389,0.0,701,-99.0
Application-445282,0.0,679,-99.0
Application-410455,0.0,561,-99.0
Application-446334,0.0,634,-99.0
Application-408584,0.0,743,-99.0
Application-389578,0.0,685,1.0
Application-439248,0.0,618,-99.0
Application-391157,0.0,616,-99.0
Application-396152,0.0,658,-99.0
Application-402710,-99999.0,222,-99.0
Application-375195,0.0,725,-99.0
Application-401683,0.0,718,-99.0
Application-400576,0.0,573,-99.0
Application-444797,0.0,696,-99.0
Application-411332,0.0,632,-99.0
Application-425792,0.0,720,-99.0
Application-433022,1.0,622,-99.0
Application-431840,1.0,640,-99.0
Application-431771,-99999.0,222,-99.0
Application-428578,0.0,690,1.0
Application-413641,3.0,537,-99.0
Application-414189,1.0,701,-99.0
Application-425946,0.0,685,-99.0
Application-420638,-99999.0,222,-99.0
Application-427304,0.0,690,-99.0
Application-442204,0.0,658,-99.0
Application-421877,0.0,635,-99.0
Application-429338,1.0,696,-99.0
Application-406132,-99999.0,222,-99.0
Application-438564,2.0,606,1.0
Application-444530,0.0,635,-99.0
Application-421961,0.0,677,-99.0
Application-404528,-99999.0,222,-99.0
Application-406919,0.0,739,-99.0
Application-376268,2.0,685,7.0
Application-449578,1.0,692,-99.0
Application-381181,0.0,671,-99.0
Application-376286,-99999.0,706,1.0
Application-405996,0.0,690,-99.0
Application-428390,0.0,702,-99.0
Application-400206,0.0,702,-99.0
Application-424959,0.0,678,-99.0
Application-414575,0.0,676,-99.0
Application-404098,0.0,601,-99.0
Application-413386,0.0,631,-99.0
Application-432551,0.0,694,-99.0
Application-436141,0.0,703,-99.0
Application-429775,0.0,691,-99.0
Application-435433,1.0,711,-99.0
Application-448955,1.0,693,-99.0
Application-430113,2.0,665,-99.0
Application-402727,0.0,651,-99.0
Application-405515,-99999.0,222,-99.0
Application-428377,0.0,577,1.0
Application-415178,-99999.0,222,-99.0
Application-379902,-99999.0,222,-99.0
Application-382422,-99999.0,222,-99.0
Application-390714,0.0,620,-99.0
Application-404361,0.0,546,-99.0
Application-443964,0.0,701,-99.0
Application-432238,0.0,656,-99.0
Application-429309,0.0,672,-99.0
Application-438892,0.0,704,-99.0
Application-444924,0.0,669,-99.0
Application-400787,0.0,652,-99.0
Application-439028,0.0,706,-99.0
